Component,Reasoning,Change,Cycle
Aluminium housing,The housing may need to be redesigned or made of a lighter material.,5,10
Watch strap,A lighter watch strap may be needed to contribute to the overall weight reduction.,5,10
PCB,The printed circuit board may need to be optimized or miniaturized.,5,10
PMIC,The power management integrated circuit may need to be selected or designed to be more power-efficient.,5,10
Wireless charger,The wireless charger component may need to be redesigned or replaced with a lighter alternative.,5,10
Speaker,The speaker component may need to be optimized or replaced with a lighter version.,5,10
Microphone,The microphone component may also need to be optimized or replaced with a lighter version.,5,10
Sensors,The EDA sensor will be integrated into the Sensors component.,6,10
Computing unit,The Computing unit will need to be modified to process the data from the EDA sensor.,6,10
MCU,The MCU will need to be updated to collect and preprocess data from the EDA sensor.,6,10
Memory,The Memory component may need to be modified to store the additional data from the EDA sensor.,6,10
Software application,The Software application will need to be updated to recognize user physiological and emotional state based on the data from the EDA sensor.,6,10
PCB,Needs to connect OLED display.,7,10
MCU,Will send data to OLED display.,7,10
PMIC,Must provide power to OLED display.,7,10
Software application,Needs update to send data to OLED display.,7,10
MCU,Must control the Haptic feedback motor.,8,10
PCB,Needs to accommodate the Haptic feedback motor.,8,10
PMIC,Must support the power requirements of the Haptic feedback motor.,8,10
Battery,Needs to provide sufficient power for the Haptic feedback motor.,8,10
Software application,Must integrate the Haptic feedback motor for alerts and guided breathing.,8,10
Wireless charger,Replacement by wired charging solution.,9,10
PMIC,Reconfiguration for wired charging.,9,10
PCB,Redesign for wired charging support.,9,10
Battery,Potential modification for compatibility.,9,10
